Frame,Timestamp,Dominant_Emotion,neutral,happy,sad,angry,fear,surprise,disgust
160,6.67,happy,0.026730023,99.92522,0.0009533506,0.00041360414,1.5936608e-05,0.046672348,1.5155022e-08
165,6.88,sad,0.3708518,0.040084857,72.16021,2.2885559,24.895641,0.2444954,0.00015491123
170,7.09,sad,14.865183,0.040386174,53.76872,1.9242334,29.348005,0.049378235,0.004103308
175,7.3,fear,28.040106,0.017695244,25.445948,2.154033,43.95577,0.37419537,0.012262691
180,7.51,neutral,46.05513,0.09775339,33.263706,1.682898,18.804472,0.079173185,0.016868982
185,7.72,sad,29.892254,0.26070485,51.86352,2.2257783,15.321774,0.05275508,0.38321242
190,7.92,sad,0.19766952,0.0024205581,97.31937,0.25301757,2.2269146,0.0006155326,2.6566076e-07
195,8.13,sad,1.2154875,9.7849e-05,97.21419,0.71435946,0.85585535,4.335591e-06,4.707942e-07
200,8.34,sad,3.4900641,0.000120997654,92.60145,1.2917926,2.61644,7.2513794e-05,6.1600964e-05
205,8.55,sad,1.1298451,0.12541191,86.38382,3.371023,8.8948345,0.09161651,0.003446271
210,8.76,sad,19.065754,0.002960618,54.38062,2.1799464,24.355846,0.007028681,0.007858654
215,8.97,sad,24.284435,9.990679e-05,52.052193,4.60891,19.054289,7.4312215e-05,5.0825865e-06
220,9.18,sad,5.2084723,8.10777e-05,77.8611,3.7524323,13.177887,2.2358157e-05,7.5052035e-06
225,9.38,sad,8.52091,1.8838557e-05,65.69142,4.345343,21.442102,0.00020124973,9.22428e-06
230,9.59,sad,17.995228,0.00037924017,57.880993,3.933006,20.19033,6.030845e-05,2.3205953e-06
235,9.8,sad,0.38635856,4.5675616e-11,99.2224,7.2806934e-09,0.39124367,1.3460014e-10,4.5161077e-21
240,10.01,sad,0.013673003,1.3869224e-11,99.916565,2.5600019e-11,0.06975879,2.542433e-13,4.011726e-21
245,10.22,sad,14.022894,2.23459e-05,74.6008,2.6528242,8.72338,7.2727904e-05,1.5214002e-06
250,10.43,neutral,94.40257,4.3220075e-10,5.549241,1.9960808e-12,0.04818686,1.5209142e-13,3.9623832e-22
255,10.64,sad,12.087412,1.1364159e-05,82.640915,3.3290493,1.9426149,8.3323975e-08,5.016656e-09
260,10.84,neutral,59.300224,8.399267e-09,40.372074,4.2177213e-11,0.32770592,8.264397e-13,2.6699798e-19
265,11.05,neutral,95.71329,4.5307213e-11,4.1815453,1.4045502e-12,0.1051693,5.8555476e-14,9.110358e-25
270,11.26,sad,5.9933867,1.8440461e-06,56.745163,1.1317292,36.129684,2.127284e-05,3.8361813e-06
275,11.47,sad,1.6702237,1.4807303e-07,76.51634,0.7941612,21.019264,5.3329177e-06,6.226799e-07
280,11.68,sad,1.0810888,4.0425556e-07,93.31596,0.8805982,4.722349,1.1086511e-06,3.8111406e-07
285,11.89,sad,2.6354454,0.13639942,77.342186,2.0298553,17.81408,0.041950077,8.695856e-05
290,12.1,sad,40.019604,0.010304459,46.323704,3.7885566,9.834407,0.02341171,1.176516e-05
295,12.3,sad,2.5355923,0.0005959494,91.36211,0.5574061,5.544217,8.2091625e-05,5.5735933e-07
300,12.51,sad,25.922915,0.0010494613,53.376514,12.065966,8.63148,0.0020508433,2.6505384e-05
305,12.72,neutral,50.255596,0.0009881823,42.63163,1.7459061,5.36252,0.0033546407,2.6454612e-07
310,12.93,neutral,53.03044,0.0042792982,42.950172,2.3146303,1.6924359,0.008038506,1.854307e-07
315,13.14,sad,6.2848077,0.013910071,83.906845,2.020046,7.697556,0.076835856,9.466594e-07
320,13.35,sad,0.84755677,0.007363055,94.57147,0.72137785,3.8417883,0.010440748,1.3465921e-06
325,13.56,sad,1.9407567,0.15089424,83.900475,5.7576647,8.189399,0.05992006,0.0008869853
330,13.76,neutral,57.66864,9.741587,6.0289493,13.461286,10.673158,1.8829707,0.5434136
335,13.97,happy,4.2718086,95.64456,0.06655391,0.0022482432,0.0010834748,0.013699693,4.0945088e-05
340,14.18,fear,0.68589795,0.044073872,29.581121,0.004984529,69.68202,0.0019022116,1.1277475e-11
345,14.39,fear,0.023629215,1.8596045,36.988426,0.47847906,60.64744,0.0024249316,3.2474363e-11
350,14.6,sad,26.522303,0.05474856,47.763573,15.184158,9.821686,0.6485461,0.004986696
355,14.81,neutral,43.025433,0.3264979,33.231438,21.242962,2.0714066,0.09671195,0.005545768
360,15.01,sad,26.039246,1.1226572,39.25713,0.8166687,25.898558,0.25803587,6.607705
365,15.22,neutral,45.27536,42.183254,7.439407,0.17591394,2.8858526,1.8450594,0.19514936
370,15.43,neutral,69.6449,0.0015602512,11.754797,18.289434,0.30192035,0.007362999,2.753869e-05
375,15.64,sad,38.93335,0.003811528,52.152992,8.465112,0.44325748,0.0009850471,0.0004947057
380,15.85,neutral,54.720596,0.011884641,15.354149,29.135996,0.7376059,0.037799902,0.001969545
385,16.06,neutral,74.618324,0.008556958,10.97794,13.401643,0.931609,0.06107066,0.0008535746
390,16.27,sad,2.2404418,0.0019008056,88.516365,0.7704624,8.470678,3.4651664e-05,0.00012280795
395,16.47,sad,0.027276093,0.21382876,62.211765,16.229147,8.231472,13.086513,1.4191279e-06
400,16.68,sad,0.10494163,0.4211262,47.277832,25.595716,7.3531547,19.247232,8.105134e-07
405,16.89,sad,12.749258,0.06221814,58.561443,7.945928,20.604311,0.0765113,0.00032833277
410,17.1,sad,0.82783717,0.00020673685,91.89024,2.8632214,4.417958,0.0005389914,2.8391012e-06
415,17.31,sad,26.714146,0.0054450147,61.559868,4.0507984,7.656642,0.013087908,1.5242917e-05
420,17.52,sad,36.478863,8.430838e-08,63.321884,1.6496645e-07,0.19925493,4.0871134e-10,5.9950126e-14
425,17.73,neutral,78.326324,0.0039001752,18.22987,0.53834075,2.8722947,0.029266734,8.6220916e-07
430,17.93,sad,20.416573,1.0252377,58.693993,1.4940495,16.011597,2.3584683,8.8326575e-05
435,18.14,sad,14.705484,0.09772033,77.668755,0.65388495,6.8311977,0.04255054,0.0004063195
440,18.35,sad,9.925589,0.013806937,80.09437,1.6119556,8.341649,0.012576132,6.0463288e-05
445,18.56,sad,4.192892,0.0006370341,92.657394,0.51527655,2.6333432,0.00045306148,1.0685929e-07
450,18.77,sad,0.24648052,0.00075486465,95.86518,0.64573807,3.2385685,0.0032787323,2.1981361e-07
455,18.98,sad,5.671978,0.0009822255,91.10862,0.58239233,2.6359181,0.000106149746,4.1329255e-07
460,19.19,sad,14.260994,0.032980118,67.75337,9.36629,8.491589,0.09462705,0.00014489435
465,19.39,sad,0.96142006,0.2517262,72.10578,6.9897466,18.373798,1.3173056,0.00022243505
470,19.6,sad,17.842894,0.003517265,75.64881,2.6956737,3.804554,0.00090523483,0.0036429684
475,19.81,sad,8.2493925,0.0640107,79.77828,6.5582256,5.2530184,0.096706435,0.00036648163
480,20.02,sad,0.2405347,0.0011219758,89.47489,2.6384623,7.398255,0.24670658,2.7740398e-05
485,20.23,neutral,94.35283,0.028538398,4.538021,0.63282937,0.4366181,0.011155149,7.161945e-06
490,20.44,neutral,76.74132,0.07639373,19.884598,1.1915191,2.100388,0.0057095094,7.618224e-05
495,20.65,neutral,63.542336,0.11767552,32.292294,0.7490698,3.2982593,0.00030312178,6.272763e-05
500,20.85,sad,7.2701917,0.011231501,77.67202,4.063995,10.978669,0.0023771545,0.001520169
505,21.06,sad,2.8050497,0.0024057538,83.066895,6.9775095,7.145703,0.0024069727,2.1999032e-05
510,21.27,sad,34.401012,0.0037922233,62.932438,1.537059,1.125674,2.7779734e-05,2.2948966e-06
515,21.48,sad,5.544605,0.12895556,75.63744,1.7829323,16.847319,0.058630887,0.00011237747
520,21.69,sad,1.6094824,0.012073823,91.54987,0.25223896,6.575885,0.0004285112,1.8708764e-05
525,21.9,sad,21.305021,0.07723675,53.07238,1.965831,23.508068,0.07126942,0.00019289751
530,22.11,sad,1.3084534,0.012689913,93.468254,0.24123426,4.9691267,0.00022007109,2.0486223e-05
535,22.31,sad,31.475008,0.044799667,59.915,1.2760539,7.2829537,0.006097668,8.5652384e-05
540,22.52,sad,7.175839,0.050844394,85.7908,0.8290799,6.150463,0.0029209396,4.984519e-05
545,22.73,sad,7.5921474,0.18576632,84.59424,1.2540034,6.3652835,0.0083719585,0.00018995129
550,22.94,fear,4.436707,2.1995275,33.29971,0.8778076,58.711075,0.47503135,0.00013704525
555,23.15,sad,1.6987333,0.3732736,93.10928,2.1743155,2.6170452,0.02732758,2.6599351e-05
560,23.36,sad,0.20275326,0.0044432473,96.32719,0.5922228,2.786226,0.087178305,3.631473e-07
565,23.57,sad,0.25501096,7.793499e-05,89.15069,7.7599583,2.832872,0.0013709053,2.0448004e-05
570,23.77,sad,7.015963,5.2294654e-05,86.70391,0.38684136,5.8932176,1.34551965e-05,3.046096e-07
575,23.98,sad,0.8386067,0.009112175,86.09498,0.75279653,12.238125,0.06636273,1.7936349e-05
580,24.19,sad,10.932,0.0010746408,84.2057,1.4274207,3.4329104,0.0008838168,5.1281168e-06
585,24.4,sad,3.8448358,0.0021323685,95.01732,0.22004965,0.9155027,0.00016533773,1.1379914e-06
590,24.61,neutral,60.02031,0.00031885644,37.690144,0.7405619,1.5483475,0.0003166012,1.0840462e-07
595,24.82,sad,26.655674,0.0036655907,62.384373,5.2793117,5.674004,0.0029493563,1.8853249e-05
600,25.02,sad,1.2064533,0.0012443293,93.91711,0.14204691,4.733083,6.1876635e-05,4.3053114e-07
605,25.23,sad,11.846381,0.008385627,85.61904,0.99959004,1.5259185,0.0006818684,3.4490301e-07
610,25.44,sad,0.13393773,0.0016163902,98.24668,0.28518948,1.3322091,0.00036389162,2.0693352e-07
615,25.65,sad,0.9555417,2.0588259e-05,96.67002,0.7835135,1.5908368,1.2729008e-06,5.536725e-05
620,25.86,sad,0.053352807,2.9048746e-08,97.743385,0.0047357474,2.198533,3.1924986e-12,2.9299285e-10
625,26.07,sad,21.51566,2.1573535e-06,76.8114,0.41782743,1.2551199,1.2167554e-09,4.5920747e-09
630,26.28,sad,5.646572,4.809592e-06,89.12565,0.23083371,4.996948,2.9694771e-08,2.018168e-07
635,26.48,sad,18.219202,1.9777757e-05,76.549255,0.29406673,4.9374604,2.3292014e-08,2.6110305e-08
640,26.69,sad,0.08104894,8.195963e-05,96.463,0.14105044,3.3148031,7.110974e-06,1.059033e-05
645,26.9,sad,0.030772272,1.7525526e-05,99.70849,0.0046898285,0.2560334,1.1788933e-06,1.2265683e-10
650,27.11,neutral,68.028435,0.3108764,29.151375,2.211736,0.29728663,0.00019029909,0.00010081064
655,27.32,happy,1.099819,92.447876,0.20889682,6.137395,0.07033241,0.034284893,0.0013941522
660,27.53,neutral,38.483845,14.289024,9.306936,25.92738,11.52758,0.26976874,0.1954628
665,27.74,sad,0.302825,0.0034346671,93.043945,0.73252714,5.9165573,0.00039084707,0.00032113033
670,27.94,sad,0.32016942,0.0012841428,94.56193,1.7977242,3.3165922,0.002300964,3.6231377e-06
675,28.15,sad,0.07319612,0.010508754,94.65844,0.71637756,3.2990286,1.2424545,3.5907593e-07
680,28.36,happy,2.0919664,95.31174,1.3849555,0.8037549,0.3735627,0.030882709,0.003146139
685,28.57,happy,4.717356,93.81423,0.07454527,1.3854561,0.008200636,0.00021156302,2.1810208e-06
690,28.78,happy,2.080457,97.66843,0.22852887,0.01970354,0.0016147295,5.917254e-05,0.0012045538
695,28.99,sad,10.305122,1.3203131,86.6743,1.0721574,0.48526075,7.770041e-05,0.14276616
700,29.2,sad,5.9010963,0.020755444,86.435394,4.101885,3.538926,0.00021110625,0.0017322045
705,29.4,neutral,63.03852,6.1604533,26.602972,1.4253771,2.756777,0.011012392,0.0048842453
710,29.61,sad,0.03347763,0.007795509,97.23714,0.12696339,2.5946136,4.9241225e-06,1.4534953e-06
715,29.82,sad,18.181778,0.0012247822,78.62749,1.657384,1.5321062,1.9729081e-05,1.2432227e-07
720,30.03,angry,11.090188,31.405895,2.9875736,44.92494,8.70019,0.37218,0.5190329
725,30.24,neutral,72.61768,0.94218254,9.031948,10.827497,6.5629296,0.017145421,0.0006139677
730,30.45,angry,3.7928472,0.22008437,28.63633,53.476044,12.675866,1.1973091,0.0015219058
735,30.66,sad,2.3212886,0.10305494,74.41301,2.762197,20.272163,0.12796354,0.00033076212
740,30.86,neutral,68.703064,0.27727804,18.267805,10.362431,2.1427832,0.07596167,0.1706784
745,31.07,sad,24.600319,3.2005682,30.078098,16.222609,22.475792,1.5276579,1.8949592
750,31.28,fear,2.8414295,42.277245,6.6273184,4.2028017,43.03319,0.8675547,0.15046115
755,31.49,sad,9.020038,0.046180252,41.330093,28.982874,18.134132,2.3656142,0.12107277
760,31.7,neutral,41.840378,0.09702837,26.749935,3.9289207,26.865963,0.39380136,0.123973176
765,31.91,neutral,45.79633,4.1279006,27.249378,0.8629542,17.860216,1.3235914,2.779628
770,32.12,fear,12.681207,32.01685,10.792855,1.0225294,42.52301,0.19320558,0.7703386
775,32.32,sad,22.83944,5.2130985,47.462204,1.8560066,21.606953,0.40501583,0.61728626
780,32.53,sad,8.852359,0.5385654,61.634342,2.017665,16.751104,0.18288413,10.023083
785,32.74,neutral,33.410446,16.057018,16.078897,3.5520651,15.51262,1.3993171,13.989641
790,32.95,sad,3.605162,0.0049196756,93.91663,0.72566015,1.7475555,1.8287745e-05,5.5570094e-05
795,33.16,sad,4.259606,3.0786607e-05,78.69754,1.0002984,16.042479,2.760565e-05,1.0211453e-05
800,33.37,sad,25.581259,3.428232e-05,57.844776,5.48709,11.086821,2.0584961e-05,5.834186e-06
805,33.58,sad,4.005638,1.54023e-05,80.41082,0.4595737,15.123951,6.856602e-07,2.526208e-06
810,33.78,sad,4.285495,3.1862353e-05,91.62695,0.20654567,3.8809807,1.1247971e-06,1.8637557e-07
815,33.99,sad,0.049616016,1.5117699e-05,98.60716,0.08286109,1.26033,4.2224278e-07,1.4691083e-05
820,34.2,sad,0.6555974,0.0012470154,96.19538,0.001021536,3.1467547,4.6232927e-07,1.1661437e-10
825,34.41,neutral,46.769524,0.0019974757,39.111416,0.72602516,13.391028,3.0077692e-06,3.6000827e-06
830,34.62,neutral,51.01556,0.29525894,40.641323,2.4227352,5.60135,0.0012477232,0.022522742
835,34.83,sad,13.526453,0.058913067,56.400993,0.9751297,29.03717,0.00019490981,0.0011334027
840,35.03,sad,4.3652077,0.08541691,90.069176,2.0228233,3.4538832,0.0034788297,1.282062e-05
845,35.24,sad,3.9239812,0.011103601,72.393776,10.832115,12.60557,0.23095119,0.002505675
850,35.45,neutral,49.76678,0.0005838377,48.70582,1.3469523,0.17986743,2.3084458e-06,1.2503372e-06
855,35.66,sad,1.3733066,0.014133729,95.3392,0.21544717,2.9693596,7.491359e-06,0.08854059
860,35.87,sad,16.094835,0.043362003,69.50043,4.509079,9.829097,0.016199665,0.006994979
865,36.08,neutral,47.36908,0.24392512,46.535378,1.8576499,3.965623,0.024481572,0.0038681831
870,36.29,neutral,69.78763,0.31461507,24.853643,2.2076619,2.7708182,0.035901036,0.02973004
875,36.49,angry,19.949076,0.07518734,30.793318,31.50919,16.145628,1.5199052,0.0076907873
880,36.7,neutral,39.517693,1.384776,36.474438,1.0478089,19.310804,0.017340058,2.2471395
885,36.91,neutral,37.08173,21.167387,31.928371,2.8090618,5.365836,0.0079552075,1.6396618
890,37.12,happy,0.49521777,99.45136,0.032846987,0.020402843,3.733931e-05,1.4929394e-05,0.00011302215
895,37.33,happy,3.309484,79.9547,0.49784553,14.354682,1.7077498,0.1060447,0.06949765
900,37.54,sad,45.039898,0.06982084,50.588577,2.708769,1.5915278,0.0009314673,0.00047887416
